const_parse	dep_parse	ner	question	questionid	storyid
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Marcus))
      (VP (VB decide)
        (S
          (VP (TO to)
            (VP (VB buy))))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
Marcus	NNP	4	nsubj
decide	VB	0	ROOT
to	TO	6	mark
buy	VB	4	xcomp
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Marcus', 'characterOffsetBegin': 9, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"	What did Marcus decide to buy?	87da1a22-df0b-410c-b186-439700b70ba6_Q2	87da1a22-df0b-410c-b186-439700b70ba6
"(ROOT
  (S
    (S
      (VP (VBD Did)
        (NP
          (NP (DT the) (NN pair))
          (PP (IN of)
            (NP (NNP khakis) (NNP Marcus))))))
    (VP (VBD bought)
      (S
        (ADJP (JJ fit))
        (NP (PRP him))))
    (. ?)))"	"Did	VBD	7	aux
the	DT	3	det
pair	NN	7	nsubj
of	IN	6	case
khakis	NNP	6	compound
Marcus	NNP	3	nmod
bought	VBD	0	ROOT
fit	JJ	7	xcomp
him	PRP	8	dobj
?	.	7	punct
"	"[{'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'Marcus', 'characterOffsetBegin': 23, 'characterOffsetEnd': 29, 'ner': 'PERSON'}, {'docTokenBegin': 8, 'docTokenEnd': 9, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'him', 'characterOffsetBegin': 41, 'characterOffsetEnd': 44, 'ner': 'PERSON'}]"	Did the pair of khakis Marcus bought fit him?	87da1a22-df0b-410c-b186-439700b70ba6_Q3	87da1a22-df0b-410c-b186-439700b70ba6
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD thought)
        (SBAR
          (S
            (NP (DT a) (NN truck))
            (VP (MD would)
              (VP (VB be)
                (ADJP (JJR better))))))))
    (. ?)))"	"Who	WP	2	nsubj
thought	VBD	0	ROOT
a	DT	4	det
truck	NN	7	nsubj
would	MD	7	aux
be	VB	7	cop
better	JJR	2	ccomp
?	.	2	punct
"	[]	Who thought a truck would be better?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Bill))
      (VP (VB buy)
        (PP (IN in)
          (NP (DT the) (NN end)))))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
Bill	NNP	4	nsubj
buy	VB	0	ROOT
in	IN	7	case
the	DT	7	det
end	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Bill', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	What did Bill buy in the end?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD suggested)
        (S
          (NP (NNP Bill))
          (VP (TO to)
            (VP (VB buy)
              (NP (DT a) (NN trailer)))))))
    (. ?)))"	"Who	WP	2	nsubj
suggested	VBD	0	ROOT
Bill	NNP	2	dobj
to	TO	5	mark
buy	VB	2	xcomp
a	DT	7	det
trailer	NN	5	dobj
?	.	2	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Bill', 'characterOffsetBegin': 14, 'characterOffsetEnd': 18, 'ner': 'PERSON'}]"	Who suggested Bill to buy a trailer?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
"(ROOT
  (SBARQ
    (WHNP (WRB How) (RB much))
    (SQ (VBD was)
      (NP (DT the) (NN truck)))
    (. ?)))"	"How	WRB	2	advmod
much	RB	5	nsubj
was	VBD	5	cop
the	DT	5	det
truck	NN	0	ROOT
?	.	5	punct
"	[]	How much was the truck?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD was)
      (NP
        (NP (NNP John) (POS 's))
        (NN job)))
    (. ?)))"	"What	WP	0	ROOT
was	VBD	1	cop
John	NNP	5	nmod:poss
's	POS	3	case
job	NN	1	nsubj
?	.	1	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'John', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	What was John's job?	c71bb23b-7731-4233-8298-76ba6886cee1_Q0	c71bb23b-7731-4233-8298-76ba6886cee1
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (NNP John))
      (VP (VB sing)
        (NP (PRP$ his) (NNS sermons))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
John	NNP	4	nsubj
sing	VB	0	ROOT
his	PRP$	6	nmod:poss
sermons	NNS	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'John', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}, {'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 19, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	When did John sing his sermons?	c71bb23b-7731-4233-8298-76ba6886cee1_Q1	c71bb23b-7731-4233-8298-76ba6886cee1
"(ROOT
  (S
    (VP (VBD Did)
      (NP
        (NP (NNP John) (POS 's))
        (NN congregation))
      (PP (IN like)
        (NP (DT the) (JJ musical) (NNS sermons))))
    (. ?)))"	"Did	VBD	0	ROOT
John	NNP	4	nmod:poss
's	POS	2	case
congregation	NN	1	dobj
like	IN	8	case
the	DT	8	det
musical	JJ	8	amod
sermons	NNS	4	nmod
?	.	1	punct
"	"[{'docTokenBegin': 1, 'docTokenEnd': 2, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'John', 'characterOffsetBegin': 4, 'characterOffsetEnd': 8, 'ner': 'PERSON'}]"	Did John's congregation like the musical sermons?	c71bb23b-7731-4233-8298-76ba6886cee1_Q2	c71bb23b-7731-4233-8298-76ba6886cee1
"(ROOT
  (SBARQ
    (WHNP
      (WHADJP (WRB How) (JJ many))
      (NNS people))
    (SQ
      (VP (VBD were)
        (PP (IN in)
          (NP
            (NP (NNP John) (POS 's))
            (NN congregation)))))
    (. ?)))"	"How	WRB	2	advmod
many	JJ	3	amod
people	NNS	4	nsubj
were	VBD	0	ROOT
in	IN	8	case
John	NNP	8	nmod:poss
's	POS	6	case
congregation	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'John', 'characterOffsetBegin': 24, 'characterOffsetEnd': 28, 'ner': 'PERSON'}]"	How many people were in John's congregation?	c71bb23b-7731-4233-8298-76ba6886cee1_Q3	c71bb23b-7731-4233-8298-76ba6886cee1
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ
      (VP (VBD did)
        (NP
          (NP (NNP Melody) (POS 's))
          (NNS parents) (NN tool))
        (NP (PRP$ her))
        (PP (TO to))))
    (. ?)))"	"Where	WRB	6	advmod
did	VBD	6	aux
Melody	NNP	5	nmod:poss
's	POS	3	case
parents	NNS	6	nsubj
tool	NN	0	ROOT
her	PRP$	6	dep
to	TO	7	dep
?	.	6	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Melody', 'characterOffsetBegin': 10, 'characterOffsetEnd': 16, 'ner': 'PERSON'}, {'docTokenBegin': 6, 'docTokenEnd': 7, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'her', 'characterOffsetBegin': 32, 'characterOffsetEnd': 35, 'ner': 'PERSON'}]"	Where did Melody's parents tool her to?	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q0	4d7b022e-25d2-4300-a9b0-24ab35f4045b
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (RB long))
    (SQ (VBD was)
      (NP
        (NP (DT the) (NN car) (NN ride))
        (PP (TO to)
          (NP (DT the) (NN aquarium)))))
    (. ?)))"	"How	WRB	2	advmod
long	RB	3	advmod
was	VBD	0	ROOT
the	DT	6	det
car	NN	6	compound
ride	NN	3	nsubj
to	TO	9	case
the	DT	9	det
aquarium	NN	3	nmod
?	.	3	punct
"	[]	How long was the car ride to the aquarium?	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q1	4d7b022e-25d2-4300-a9b0-24ab35f4045b
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Melody))
      (VP (VB see)
        (PP (IN at)
          (NP (DT the) (NN aquarium)))))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
Melody	NNP	4	nsubj
see	VB	0	ROOT
at	IN	7	case
the	DT	7	det
aquarium	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Melody', 'characterOffsetBegin': 9, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"	What did Melody see at the aquarium?	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q2	4d7b022e-25d2-4300-a9b0-24ab35f4045b
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (RB long))
    (SQ (VBD did)
      (NP (NNP Melody))
      (VP (VB stay)
        (PP (IN at)
          (NP (DT the) (NN aquarium)))))
    (. ?)))"	"How	WRB	2	advmod
long	RB	5	advmod
did	VBD	5	aux
Melody	NNP	5	nsubj
stay	VB	0	ROOT
at	IN	8	case
the	DT	8	det
aquarium	NN	5	nmod
?	.	5	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Melody', 'characterOffsetBegin': 13, 'characterOffsetEnd': 19, 'ner': 'PERSON'}]"	How long did Melody stay at the aquarium?	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q3	4d7b022e-25d2-4300-a9b0-24ab35f4045b
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD announced)
        (NP (DT a) (NN pop) (NN quiz))))
    (. ?)))"	"Who	WP	2	nsubj
announced	VBD	0	ROOT
a	DT	5	det
pop	NN	5	compound
quiz	NN	2	dobj
?	.	2	punct
"	[]	Who announced a pop quiz?	8036c905-f23e-4976-83a1-85d679b5e0c2_Q0	8036c905-f23e-4976-83a1-85d679b5e0c2
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VBP finish)
        (S
          (VP (VBG working)
            (PP (IN on)
              (NP (DT the) (NN exam)))))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
I	PRP	4	nsubj
finish	VBP	0	ROOT
working	VBG	4	xcomp
on	IN	8	case
the	DT	8	det
exam	NN	5	nmod
?	.	4	punct
"	[]	When did I finish working on the exam?	8036c905-f23e-4976-83a1-85d679b5e0c2_Q1	8036c905-f23e-4976-83a1-85d679b5e0c2
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD complained)
        (PP (IN about)
          (NP (DT the) (NN pop) (NN quiz)))))
    (. ?)))"	"Who	WP	2	nsubj
complained	VBD	0	ROOT
about	IN	6	case
the	DT	6	det
pop	NN	6	compound
quiz	NN	2	nmod
?	.	2	punct
"	[]	Who complained about the pop quiz?	8036c905-f23e-4976-83a1-85d679b5e0c2_Q2	8036c905-f23e-4976-83a1-85d679b5e0c2
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VB feel)
        (PP (IN after)
          (NP (DT the) (NN quiz)))))
    (. ?)))"	"How	WRB	4	advmod
did	VBD	4	aux
I	PRP	4	nsubj
feel	VB	0	ROOT
after	IN	7	case
the	DT	7	det
quiz	NN	4	nmod
?	.	4	punct
"	[]	How did I feel after the quiz?	8036c905-f23e-4976-83a1-85d679b5e0c2_Q3	8036c905-f23e-4976-83a1-85d679b5e0c2
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD did)
      (NP (PRP$ my) (JJ first) (NN girlfriend))
      (VP (VB live)))
    (. ?)))"	"Where	WRB	6	advmod
did	VBD	6	aux
my	PRP$	5	nmod:poss
first	JJ	5	amod
girlfriend	NN	6	nsubj
live	VB	0	ROOT
?	.	6	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'first', 'characterOffsetBegin': 13, 'characterOffsetEnd': 18, 'ner': 'ORDINAL', 'normalizedNER': '1.0'}]"	Where did my first girlfriend live?	77338898-07d4-4143-8451-284540c8b082_Q0	77338898-07d4-4143-8451-284540c8b082
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VB meet)
        (NP (PRP$ my) (JJ first) (NN girlfriend))))
    (. ?)))"	"How	WRB	4	advmod
did	VBD	4	aux
I	PRP	4	nsubj
meet	VB	0	ROOT
my	PRP$	7	nmod:poss
first	JJ	7	amod
girlfriend	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'first', 'characterOffsetBegin': 18, 'characterOffsetEnd': 23, 'ner': 'ORDINAL', 'normalizedNER': '1.0'}]"	How did I meet my first girlfriend?	77338898-07d4-4143-8451-284540c8b082_Q1	77338898-07d4-4143-8451-284540c8b082
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (RB long))
    (SQ (VBD did)
      (NP (PRP$ my) (NN girlfriend))
      (VP (VB stay)
        (PP (IN with)
          (NP (PRP me)))))
    (. ?)))"	"How	WRB	2	advmod
long	RB	6	advmod
did	VBD	6	aux
my	PRP$	5	nmod:poss
girlfriend	NN	6	nsubj
stay	VB	0	ROOT
with	IN	8	case
me	PRP	6	nmod
?	.	6	punct
"	[]	How long did my girlfriend stay with me?	77338898-07d4-4143-8451-284540c8b082_Q2	77338898-07d4-4143-8451-284540c8b082
"(ROOT
  (SBARQ
    (WHADVP (WRB Why))
    (SQ (VBD did)
      (NP (PRP$ my) (NN girlfriend))
      (VP (VBD moved)
        (PP (IN in)
          (PP (IN with)
            (NP (PRP me))))))
    (. ?)))"	"Why	WRB	5	advmod
did	VBD	5	aux
my	PRP$	4	nmod:poss
girlfriend	NN	5	nsubj
moved	VBD	0	ROOT
in	IN	5	compound:prt
with	IN	8	case
me	PRP	5	nmod
?	.	5	punct
"	[]	Why did my girlfriend moved in with me?	77338898-07d4-4143-8451-284540c8b082_Q3	77338898-07d4-4143-8451-284540c8b082
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VB get)
        (NP (NNP Charlie) (NN horse))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
I	PRP	4	nsubj
get	VB	0	ROOT
Charlie	NNP	6	compound
horse	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'Charlie', 'characterOffsetBegin': 15, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	When did I get Charlie horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (JJ old))
    (SQ (VBP am)
      (NP
        (NP (PRP I))
        (ADVP (RB now))))
    (. ?)))"	"How	WRB	2	advmod
old	JJ	0	ROOT
am	VBP	2	dep
I	PRP	3	nsubj
now	RB	4	advmod
?	.	2	punct
"	"[{'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'now', 'characterOffsetBegin': 13, 'characterOffsetEnd': 16, 'ner': 'DATE', 'normalizedNER': 'PRESENT_REF', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'PRESENT_REF'}}]"	How old am I now?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WDT What) (NN color))
    (SQ (VBZ is)
      (NP (NNP Charlie) (NN horse)))
    (. ?)))"	"What	WDT	2	det
color	NN	3	dobj
is	VBZ	0	ROOT
Charlie	NNP	5	compound
horse	NN	3	nsubj
?	.	3	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Charlie', 'characterOffsetBegin': 14, 'characterOffsetEnd': 21, 'ner': 'PERSON'}]"	What color is Charlie horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VBP like)
        (S
          (VP (TO to)
            (VP (VB do)
              (SBAR (IN as)
                (S
                  (NP (PRP I))
                  (VP (VBD fell)
                    (ADJP (RB asleep))
                    (S
                      (VP (VBG cuddling)
                        (NP (PRP him))))))))))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
I	PRP	4	nsubj
like	VBP	0	ROOT
to	TO	6	mark
do	VB	4	xcomp
as	IN	9	mark
I	PRP	9	nsubj
fell	VBD	4	advcl
asleep	RB	11	advmod
cuddling	VBG	9	xcomp
him	PRP	11	dobj
?	.	4	punct
"	"[{'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 11, 'tokenEnd': 12, 'text': 'him', 'characterOffsetBegin': 48, 'characterOffsetEnd': 51, 'ner': 'PERSON'}]"	What did I like to do as I fell asleep cuddling him?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Laura))
      (VP (VB decide)
        (S
          (VP (TO to)
            (VP (VB grow))))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
Laura	NNP	4	nsubj
decide	VB	0	ROOT
to	TO	6	mark
grow	VB	4	xcomp
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Laura', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did Laura decide to grow?	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
