const_parse	dep_parse	ner	question	questionid	storyid
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ
      (VP (VBD happened)
        (SBAR
          (WHADVP (WRB when))
          (S
            (NP (NNP Tom))
            (VP (VBD got)
              (ADJP (JJ angry)))))))
    (. ?)))"	"What	WP	2	nsubj
happened	VBD	0	ROOT
when	WRB	5	advmod
Tom	NNP	5	nsubj
got	VBD	2	advcl
angry	JJ	5	xcomp
?	.	2	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Tom', 'characterOffsetBegin': 19, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	What happened when Tom got angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD did)
      (NP (NNP Tom))
      (VP (VB feel)
        (SBAR (IN after)
          (S
            (NP (PRP he))
            (VP (VBD scared)
              (NP (PRP$ his) (NN guest)))))))
    (. ?)))"	"How	WRB	4	advmod
did	VBD	4	aux
Tom	NNP	4	nsubj
feel	VB	0	ROOT
after	IN	7	mark
he	PRP	7	nsubj
scared	VBD	4	advcl
his	PRP$	9	nmod:poss
guest	NN	7	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 8, 'characterOffsetEnd': 11, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 23, 'characterOffsetEnd': 25, 'ner': 'PERSON'}, {'docTokenBegin': 7, 'docTokenEnd': 8, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'his', 'characterOffsetBegin': 33, 'characterOffsetEnd': 36, 'ner': 'PERSON'}]"	How did Tom feel after he scared his guest?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHNP (WDT What))
    (SQ (VBD had)
      (NP (NNP Jane))
      (VP (VBN gotten)))
    (. ?)))"	"What	WDT	4	dobj
had	VBD	4	aux
Jane	NNP	4	nsubj
gotten	VBN	0	ROOT
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	What had Jane gotten?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD was)
      (NP (NNP Jane))
      (ADJP (JJ nervous)
        (PP (IN about))))
    (. ?)))"	"What	WP	0	ROOT
was	VBD	1	cop
Jane	NNP	4	nsubj
nervous	JJ	1	dep
about	IN	4	nmod
?	.	1	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	What was Jane nervous about?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (NNP Jane))
      (VP (VB arrive)
        (PP (IN at)
          (NP (NN work)))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
Jane	NNP	4	nsubj
arrive	VB	0	ROOT
at	IN	6	case
work	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	When did Jane arrive at work?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD was)
      (NP
        (NP
          (NP (NNP Jane) (POS 's))
          (JJ first) (NN day))
        (PP (IN at)
          (NP (NN work)))))
    (. ?)))"	"How	WRB	0	ROOT
was	VBD	1	dep
Jane	NNP	6	nmod:poss
's	POS	3	case
first	JJ	6	amod
day	NN	2	nsubj
at	IN	8	case
work	NN	6	nmod
?	.	1	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 8, 'characterOffsetEnd': 12, 'ner': 'PERSON'}, {'docTokenBegin': 4, 'docTokenEnd': 6, 'tokenBegin': 4, 'tokenEnd': 6, 'text': 'first day', 'characterOffsetBegin': 15, 'characterOffsetEnd': 24, 'ner': 'DATE', 'normalizedNER': 'P1D-#1', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'P1D-#1'}}]"	How was Jane's first day at work?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VB get)
        (NP (NNP Charlie) (NN horse))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
I	PRP	4	nsubj
get	VB	0	ROOT
Charlie	NNP	6	compound
horse	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'Charlie', 'characterOffsetBegin': 15, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	When did I get Charlie horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (JJ old))
    (SQ (VBP am)
      (NP
        (NP (PRP I))
        (ADVP (RB now))))
    (. ?)))"	"How	WRB	2	advmod
old	JJ	0	ROOT
am	VBP	2	dep
I	PRP	3	nsubj
now	RB	4	advmod
?	.	2	punct
"	"[{'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'now', 'characterOffsetBegin': 13, 'characterOffsetEnd': 16, 'ner': 'DATE', 'normalizedNER': 'PRESENT_REF', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'PRESENT_REF'}}]"	How old am I now?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WDT What) (NN color))
    (SQ (VBZ is)
      (NP (NNP Charlie) (NN horse)))
    (. ?)))"	"What	WDT	2	det
color	NN	3	dobj
is	VBZ	0	ROOT
Charlie	NNP	5	compound
horse	NN	3	nsubj
?	.	3	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Charlie', 'characterOffsetBegin': 14, 'characterOffsetEnd': 21, 'ner': 'PERSON'}]"	What color is Charlie horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (PRP I))
      (VP (VBP like)
        (S
          (VP (TO to)
            (VP (VB do)
              (SBAR (IN as)
                (S
                  (NP (PRP I))
                  (VP (VBD fell)
                    (ADJP (RB asleep))
                    (S
                      (VP (VBG cuddling)
                        (NP (NNP Charlie) (NNP Horse))))))))))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
I	PRP	4	nsubj
like	VBP	0	ROOT
to	TO	6	mark
do	VB	4	xcomp
as	IN	9	mark
I	PRP	9	nsubj
fell	VBD	4	advcl
asleep	RB	11	advmod
cuddling	VBG	9	xcomp
Charlie	NNP	13	compound
Horse	NNP	11	dobj
?	.	4	punct
"	"[{'docTokenBegin': 11, 'docTokenEnd': 13, 'tokenBegin': 11, 'tokenEnd': 13, 'text': 'Charlie Horse', 'characterOffsetBegin': 48, 'characterOffsetEnd': 61, 'ner': 'PERSON'}]"	What did I like to do as I fell asleep cuddling Charlie Horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Laura))
      (VP (VB decide)
        (S
          (VP (TO to)
            (VP (VB grow))))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
Laura	NNP	4	nsubj
decide	VB	0	ROOT
to	TO	6	mark
grow	VB	4	xcomp
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Laura', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did Laura decide to grow?	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD did)
      (NP (NNP Laura))
      (VP (VB decide)
        (S
          (VP (TO to)
            (VP (VB grow)
              (NP (NN corn)))))))
    (. ?)))"	"Where	WRB	4	advmod
did	VBD	4	aux
Laura	NNP	4	nsubj
decide	VB	0	ROOT
to	TO	6	mark
grow	VB	4	xcomp
corn	NN	6	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Laura', 'characterOffsetBegin': 10, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"	Where did Laura decide to grow corn?	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Laura))
      (VP (VB realize)))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
Laura	NNP	4	nsubj
realize	VB	0	ROOT
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Laura', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did Laura realize?	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
"(ROOT
  (SBARQ
    (WHNP (WDT What) (NN idea))
    (SQ (VBD did)
      (NP (NNP Laura))
      (VP (VB decide)
        (S
          (VP (TO to)
            (VP (VB abandon))))))
    (. ?)))"	"What	WDT	2	det
idea	NN	5	dobj
did	VBD	5	aux
Laura	NNP	5	nsubj
decide	VB	0	ROOT
to	TO	7	mark
abandon	VB	5	xcomp
?	.	5	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Laura', 'characterOffsetBegin': 14, 'characterOffsetEnd': 19, 'ner': 'PERSON'}]"	What idea did Laura decide to abandon?	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Julie))
      (VP (VB order)))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
Julie	NNP	4	nsubj
order	VB	0	ROOT
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Julie', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did Julie order?	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	1cc75245-93bd-44cc-b076-8d1b249e1ee5
"(ROOT
  (SBARQ
    (WHNP (WRB How))
    (SQ
      (VP (VBD did)
        (NP (NNP Julie) (NN order) (NN food))))
    (. ?)))"	"How	WRB	0	ROOT
did	VBD	1	root
Julie	NNP	5	compound
order	NN	5	compound
food	NN	2	nsubj
?	.	2	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Julie', 'characterOffsetBegin': 8, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	How did Julie order food?	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	1cc75245-93bd-44cc-b076-8d1b249e1ee5
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Julie))
      (VP (VB give)
        (NP (DT the) (NN driver))))
    (. ?)))"	"What	WP	4	dep
did	VBD	4	aux
Julie	NNP	4	nsubj
give	VB	0	ROOT
the	DT	6	det
driver	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Julie', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'driver', 'characterOffsetBegin': 24, 'characterOffsetEnd': 30, 'ner': 'TITLE'}]"	What did Julie give the driver?	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	1cc75245-93bd-44cc-b076-8d1b249e1ee5
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD was)
      (NP (DT the) (NN pizza)))
    (. ?)))"	"How	WRB	4	advmod
was	VBD	4	cop
the	DT	4	det
pizza	NN	0	ROOT
?	.	4	punct
"	[]	How was the pizza?	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	1cc75245-93bd-44cc-b076-8d1b249e1ee5
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP jody))
      (VP (VB buy)))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
jody	NNP	4	nsubj
buy	VB	0	ROOT
?	.	4	punct
"	[]	What did jody buy?	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	1e379d2b-69e8-485e-92ac-4c3daa41e364
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD did)
      (NP (NNP Jody))
      (VP (VB buy)
        (NP (DT the) (NN goldfish))))
    (. ?)))"	"Where	WRB	4	advmod
did	VBD	4	aux
Jody	NNP	4	nsubj
buy	VB	0	ROOT
the	DT	6	det
goldfish	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jody', 'characterOffsetBegin': 10, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	Where did Jody buy the goldfish?	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	1e379d2b-69e8-485e-92ac-4c3daa41e364
"(ROOT
  (SBARQ
    (WHADVP (WRB Why))
    (SQ
      (VP (VBD did)
        (NP (DT the) (NN goldfish) (NN look) (NN fat))))
    (. ?)))"	"Why	WRB	0	ROOT
did	VBD	1	dep
the	DT	6	det
goldfish	NN	6	compound
look	NN	6	compound
fat	NN	2	nsubj
?	.	1	punct
"	[]	Why did the goldfish look fat?	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	1e379d2b-69e8-485e-92ac-4c3daa41e364
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ
      (VP (VBD happened)
        (PP (TO to)
          (NP (DT the) (NN goldfish)))))
    (. ?)))"	"What	WP	2	nsubj
happened	VBD	0	ROOT
to	TO	5	case
the	DT	5	det
goldfish	NN	2	nmod
?	.	2	punct
"	[]	What happened to the goldfish?	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	1e379d2b-69e8-485e-92ac-4c3daa41e364
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ
      (VP (VBD happened)
        (PP (TO to)
          (NP (NNP David)))))
    (. ?)))"	"What	WP	2	nsubj
happened	VBD	0	ROOT
to	TO	4	case
David	NNP	2	nmod
?	.	2	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'David', 'characterOffsetBegin': 17, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	What happened to David?	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	210d56ce-a940-4766-9b7b-d086b2c5682d
"(ROOT
  (SQ (VBD Did)
    (NP (NNP David))
    (VP (VB get)
      (VP (VBN hurt)))
    (. ?)))"	"Did	VBD	4	aux
David	NNP	4	nsubjpass
get	VB	4	auxpass
hurt	VBN	0	ROOT
?	.	4	punct
"	"[{'docTokenBegin': 1, 'docTokenEnd': 2, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'David', 'characterOffsetBegin': 4, 'characterOffsetEnd': 9, 'ner': 'PERSON'}]"	Did David get hurt?	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	210d56ce-a940-4766-9b7b-d086b2c5682d
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD did)
      (NP (NNP David))
      (VP (VB stop)
        (NP (DT the) (NN bleeding))))
    (. ?)))"	"How	WRB	4	advmod
did	VBD	4	aux
David	NNP	4	nsubj
stop	VB	0	ROOT
the	DT	6	det
bleeding	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 8, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	How did David stop the bleeding?	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	210d56ce-a940-4766-9b7b-d086b2c5682d
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP David))
      (VP (VB buy)
        (PP (IN at)
          (NP (DT the) (NN pharmacy)))))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
David	NNP	4	nsubj
buy	VB	0	ROOT
at	IN	7	case
the	DT	7	det
pharmacy	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did David buy at the pharmacy?	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	210d56ce-a940-4766-9b7b-d086b2c5682d
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD was)
      (PP (IN on)
        (NP (DT the) (NN ground))))
    (. ?)))"	"What	WP	5	nsubj
was	VBD	5	cop
on	IN	5	case
the	DT	5	det
ground	NN	0	ROOT
?	.	5	punct
"	[]	What was on the ground?	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	271616db-90c2-4303-9c2b-64f4061ceb56
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD did)
      (NP (NNP James))
      (VP (VB bring)
        (NP (DT the) (NN wallet))))
    (. ?)))"	"Where	WRB	4	advmod
did	VBD	4	aux
James	NNP	4	nsubj
bring	VB	0	ROOT
the	DT	6	det
wallet	NN	4	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'James', 'characterOffsetBegin': 10, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"	Where did James bring the wallet?	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	271616db-90c2-4303-9c2b-64f4061ceb56
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SINV (VBD did)
      (NP (DT the) (NN phone) (NN ring)))
    (. ?)))"	"When	WRB	0	ROOT
did	VBD	1	root
the	DT	5	det
phone	NN	5	compound
ring	NN	2	nsubj
?	.	2	punct
"	[]	When did the phone ring?	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	271616db-90c2-4303-9c2b-64f4061ceb56
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD called)
        (NP (NNP James))))
    (. ?)))"	"Who	WP	2	nsubj
called	VBD	0	ROOT
James	NNP	2	dobj
?	.	2	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'James', 'characterOffsetBegin': 11, 'characterOffsetEnd': 16, 'ner': 'PERSON'}]"	Who called James?	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	271616db-90c2-4303-9c2b-64f4061ceb56
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD thought)
        (SBAR
          (S
            (NP (DT a) (NN truck))
            (VP (MD would)
              (VP (VB be)
                (ADJP (JJR better))))))))
    (. ?)))"	"Who	WP	2	nsubj
thought	VBD	0	ROOT
a	DT	4	det
truck	NN	7	nsubj
would	MD	7	aux
be	VB	7	cop
better	JJR	2	ccomp
?	.	2	punct
"	[]	Who thought a truck would be better?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP Bill))
      (VP (VB buy)
        (PP (IN in)
          (NP (DT the) (NN end)))))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
Bill	NNP	4	nsubj
buy	VB	0	ROOT
in	IN	7	case
the	DT	7	det
end	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Bill', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	What did Bill buy in the end?	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
