const_parse	dep_parse	ner	sentence	sentenceid	storyid	storytitle
"(ROOT
  (S
    (NP (NNP Marcus))
    (VP (VBD needed)
      (NP (NN clothing))
      (PP (IN for)
        (NP (DT a) (NN business) (JJ casual) (NN event))))
    (. .)))"	"Marcus	NNP	2	nsubj
needed	VBD	0	ROOT
clothing	NN	2	dobj
for	IN	8	case
a	DT	8	det
business	NN	8	compound
casual	JJ	8	amod
event	NN	2	nmod
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Marcus', 'characterOffsetBegin': 0, 'characterOffsetEnd': 6, 'ner': 'PERSON'}]"	Marcus needed clothing for a business casual event.	87da1a22-df0b-410c-b186-439700b70ba6_0	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis
"(ROOT
  (S
    (NP
      (NP (DT All))
      (PP (IN of)
        (NP (PRP$ his) (NNS clothes))))
    (VP (VBD were) (RB either)
      (ADJP
        (ADJP (RB too) (JJ formal))
        (CC or)
        (ADJP (RB too) (JJ casual))))
    (. .)))"	"All	DT	8	nsubj
of	IN	4	case
his	PRP$	4	nmod:poss
clothes	NNS	1	nmod
were	VBD	8	cop
either	RB	8	advmod
too	RB	8	advmod
formal	JJ	0	ROOT
or	CC	8	cc
too	RB	11	advmod
casual	JJ	8	conj
.	.	8	punct
"	"[{'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 59, 'characterOffsetEnd': 62, 'ner': 'PERSON'}]"	All of his clothes were either too formal or too casual.	87da1a22-df0b-410c-b186-439700b70ba6_1	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD decided)
      (S
        (VP (TO to)
          (VP (VB buy)
            (NP
              (NP (DT a) (NN pair))
              (PP (IN of)
                (NP (NNS khakis))))))))
    (. .)))"	"He	PRP	2	nsubj
decided	VBD	0	ROOT
to	TO	4	mark
buy	VB	2	xcomp
a	DT	6	det
pair	NN	4	dobj
of	IN	8	case
khakis	NNS	6	nmod
.	.	2	punct
"	"[{'docTokenBegin': 21, 'docTokenEnd': 22, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 109, 'characterOffsetEnd': 111, 'ner': 'PERSON'}]"	He decided to buy a pair of khakis.	87da1a22-df0b-410c-b186-439700b70ba6_2	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis
"(ROOT
  (S
    (NP (DT The) (NN pair))
    (NP (PRP he))
    (VP (VBD bought)
      (ADJP (JJ fit)
        (NP (PRP him)))
      (ADVP (RB perfectly)))
    (. .)))"	"The	DT	2	det
pair	NN	0	ROOT
he	PRP	4	nsubj
bought	VBD	2	acl:relcl
fit	JJ	4	xcomp
him	PRP	5	dobj
perfectly	RB	5	advmod
.	.	2	punct
"	"[{'docTokenBegin': 32, 'docTokenEnd': 33, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 154, 'characterOffsetEnd': 156, 'ner': 'PERSON'}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'him', 'characterOffsetBegin': 168, 'characterOffsetEnd': 171, 'ner': 'PERSON'}]"	The pair he bought fit him perfectly.	87da1a22-df0b-410c-b186-439700b70ba6_3	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis
"(ROOT
  (S
    (NP (NNP Marcus))
    (VP (VBD was)
      (ADJP (JJ happy)
        (S
          (VP (TO to)
            (VP (VB have)
              (NP
                (NP (DT the) (JJ right) (NNS clothes))
                (PP (IN for)
                  (NP (DT the) (NN event)))))))))
    (. .)))"	"Marcus	NNP	3	nsubj
was	VBD	3	cop
happy	JJ	0	ROOT
to	TO	5	mark
have	VB	3	xcomp
the	DT	8	det
right	JJ	8	amod
clothes	NNS	5	dobj
for	IN	11	case
the	DT	11	det
event	NN	8	nmod
.	.	3	punct
"	"[{'docTokenBegin': 38, 'docTokenEnd': 39, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Marcus', 'characterOffsetBegin': 183, 'characterOffsetEnd': 189, 'ner': 'PERSON'}]"	Marcus was happy to have the right clothes for the event.	87da1a22-df0b-410c-b186-439700b70ba6_4	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis
"(ROOT
  (S
    (NP (NNP Bobby))
    (VP (VBD thought)
      (SBAR
        (S
          (NP (NNP Bill))
          (VP (MD should)
            (VP
              (VP (VB buy)
                (NP (DT a) (NN trailer)))
              (CC and)
              (VP (VB haul)
                (NP (PRP it))
                (PP (IN with)
                  (NP (PRP$ his) (NN car)))))))))
    (. .)))"	"Bobby	NNP	2	nsubj
thought	VBD	0	ROOT
Bill	NNP	5	nsubj
should	MD	5	aux
buy	VB	2	ccomp
a	DT	7	det
trailer	NN	5	dobj
and	CC	5	cc
haul	VB	5	conj
it	PRP	9	dobj
with	IN	13	case
his	PRP$	13	nmod:poss
car	NN	9	nmod
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bobby', 'characterOffsetBegin': 0, 'characterOffsetEnd': 5, 'ner': 'PERSON'}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Bill', 'characterOffsetBegin': 14, 'characterOffsetEnd': 18, 'ner': 'PERSON'}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 11, 'tokenEnd': 12, 'text': 'his', 'characterOffsetBegin': 57, 'characterOffsetEnd': 60, 'ner': 'PERSON'}]"	Bobby thought Bill should buy a trailer and haul it with his car.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions
"(ROOT
  (S
    (NP (NNP Bill))
    (VP (VBD thought)
      (SBAR
        (S
          (NP (DT a) (NN truck))
          (VP (MD would)
            (VP (VB be)
              (ADVP
                (ADVP (RBR better))
                (PP (IN for)
                  (SBAR
                    (WHNP (WP what))
                    (S
                      (NP (PRP he))
                      (VP (VBD needed)))))))))))
    (. .)))"	"Bill	NNP	2	nsubj
thought	VBD	0	ROOT
a	DT	4	det
truck	NN	7	nsubj
would	MD	7	aux
be	VB	7	cop
better	RBR	2	ccomp
for	IN	11	mark
what	WP	11	dobj
he	PRP	11	nsubj
needed	VBD	7	advcl
.	.	2	punct
"	"[{'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bill', 'characterOffsetBegin': 66, 'characterOffsetEnd': 70, 'ner': 'PERSON'}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'he', 'characterOffsetBegin': 112, 'characterOffsetEnd': 114, 'ner': 'PERSON'}]"	Bill thought a truck would be better for what he needed.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions
"(ROOT
  (S
    (NP (NNP Bobby))
    (VP (VBD pointed)
      (PRT (RP out))
      (NP
        (NP (CD two) (NNS vehicles))
        (SBAR
          (S
            (VP (VBD were)
              (ADJP (RB much) (RBR more) (JJ expensive)))))))
    (. .)))"	"Bobby	NNP	2	nsubj
pointed	VBD	0	ROOT
out	RP	2	compound:prt
two	CD	5	nummod
vehicles	NNS	9	nsubj
were	VBD	9	cop
much	RB	8	advmod
more	RBR	9	advmod
expensive	JJ	2	ccomp
.	.	2	punct
"	"[{'docTokenBegin': 26, 'docTokenEnd': 27, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bobby', 'characterOffsetBegin': 123, 'characterOffsetEnd': 128, 'ner': 'PERSON'}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'two', 'characterOffsetBegin': 141, 'characterOffsetEnd': 144, 'ner': 'NUMBER', 'normalizedNER': '2.0'}]"	Bobby pointed out two vehicles were much more expensive.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions
"(ROOT
  (S
    (NP (NNP Bill))
    (VP (VBD was)
      (VP (VBN set)
        (PP (IN in)
          (NP (PRP$ his) (NNS ways)))
        (PP (IN with)
          (NP (JJ conventional) (NN thinking)))))
    (. .)))"	"Bill	NNP	3	nsubjpass
was	VBD	3	auxpass
set	VBN	0	ROOT
in	IN	6	case
his	PRP$	6	nmod:poss
ways	NNS	3	nmod
with	IN	9	case
conventional	JJ	9	amod
thinking	NN	6	nmod
.	.	3	punct
"	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bill', 'characterOffsetBegin': 180, 'characterOffsetEnd': 184, 'ner': 'PERSON'}, {'docTokenBegin': 40, 'docTokenEnd': 41, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 196, 'characterOffsetEnd': 199, 'ner': 'PERSON'}]"	Bill was set in his ways with conventional thinking.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD ended)
      (PRT (RP up))
      (S
        (VP (VBG buying)
          (NP
            (NP (DT the) (NN truck))
            (SBAR
              (S
                (NP (PRP he))
                (VP (VBD wanted)
                  (PP (IN despite)
                    (NP
                      (NP (NNP Bobby) (POS 's))
                      (NN advice))))))))))
    (. .)))"	"He	PRP	2	nsubj
ended	VBD	0	ROOT
up	RP	2	compound:prt
buying	VBG	2	xcomp
the	DT	6	det
truck	NN	4	dobj
he	PRP	8	nsubj
wanted	VBD	6	acl:relcl
despite	IN	12	case
Bobby	NNP	12	nmod:poss
's	POS	10	case
advice	NN	8	nmod
.	.	2	punct
"	"[{'docTokenBegin': 55, 'docTokenEnd': 56, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'Bobby', 'characterOffsetBegin': 280, 'characterOffsetEnd': 285, 'ner': 'PERSON'}, {'docTokenBegin': 46, 'docTokenEnd': 47, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 233, 'characterOffsetEnd': 235, 'ner': 'PERSON'}, {'docTokenBegin': 52, 'docTokenEnd': 53, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'he', 'characterOffsetBegin': 262, 'characterOffsetEnd': 264, 'ner': 'PERSON'}]"	He ended up buying the truck he wanted despite Bobby's advice.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions
"(ROOT
  (S
    (NP (NNP John))
    (VP (VBD was)
      (NP
        (NP (DT a) (NN pastor))
        (PP (IN with)
          (NP (DT a)
            (ADJP (RB very) (JJ bad))
            (NN memory)))))
    (. .)))"	"John	NNP	4	nsubj
was	VBD	4	cop
a	DT	4	det
pastor	NN	0	ROOT
with	IN	9	case
a	DT	9	det
very	RB	8	advmod
bad	JJ	9	amod
memory	NN	4	nmod
.	.	4	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'John', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'pastor', 'characterOffsetBegin': 11, 'characterOffsetEnd': 17, 'ner': 'TITLE'}]"	John was a pastor with a very bad memory.	c71bb23b-7731-4233-8298-76ba6886cee1_0	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD tried)
      (S
        (VP (TO to)
          (VP (VB memorize)
            (NP (PRP$ his) (NNS sermons))
            (NP-TMP (JJ many) (NNS days))
            (PP
              (PP (IN in)
                (NP (NN advance)))
              (CC but)
              (PP (TO to)
                (NP (DT no) (NN avail))))))))
    (. .)))"	"He	PRP	2	nsubj
tried	VBD	0	ROOT
to	TO	4	mark
memorize	VB	2	xcomp
his	PRP$	6	nmod:poss
sermons	NNS	4	dobj
many	JJ	8	amod
days	NNS	4	nmod:tmod
in	IN	10	case
advance	NN	4	nmod
but	CC	4	cc
to	TO	14	case
no	DT	14	neg
avail	NN	4	conj
.	.	2	punct
"	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'days', 'characterOffsetBegin': 80, 'characterOffsetEnd': 84, 'ner': 'DURATION', 'normalizedNER': 'PXD', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PXD'}}, {'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 42, 'characterOffsetEnd': 44, 'ner': 'PERSON'}, {'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 63, 'characterOffsetEnd': 66, 'ner': 'PERSON'}]"	He tried to memorize his sermons many days in advance but to no avail.	c71bb23b-7731-4233-8298-76ba6886cee1_1	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD decided)
      (S
        (VP (TO to)
          (VP (VB learn)
            (S
              (VP (TO to)
                (VP (VB sing)
                  (S
                    (VP (TO to)
                      (VP (VB overcome)
                        (NP (PRP$ his) (NN handicap))))))))))))
    (. .)))"	"He	PRP	2	nsubj
decided	VBD	0	ROOT
to	TO	4	mark
learn	VB	2	xcomp
to	TO	6	mark
sing	VB	4	xcomp
to	TO	8	mark
overcome	VB	6	xcomp
his	PRP$	10	nmod:poss
handicap	NN	8	dobj
.	.	2	punct
"	"[{'docTokenBegin': 25, 'docTokenEnd': 26, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 113, 'characterOffsetEnd': 115, 'ner': 'PERSON'}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'his', 'characterOffsetBegin': 153, 'characterOffsetEnd': 156, 'ner': 'PERSON'}]"	He decided to learn to sing to overcome his handicap.	c71bb23b-7731-4233-8298-76ba6886cee1_2	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings
"(ROOT
  (S
    (NP (PRP He))
    (ADVP (RB then))
    (VP
      (VP (VBD made)
        (NP (PDT all) (PRP$ his) (NNS sermons))
        (PP (IN into)
          (NP (NN music))))
      (CC and)
      (VP (VBD sang)
        (NP (PRP them))
        (PP (IN on)
          (NP (NNPS Sundays)))))
    (. .)))"	"He	PRP	3	nsubj
then	RB	3	advmod
made	VBD	0	ROOT
all	PDT	6	det:predet
his	PRP$	6	nmod:poss
sermons	NNS	3	dobj
into	IN	8	case
music	NN	3	nmod
and	CC	3	cc
sang	VBD	3	conj
them	PRP	10	dobj
on	IN	13	case
Sundays	NNPS	10	nmod
.	.	3	punct
"	"[{'docTokenBegin': 48, 'docTokenEnd': 49, 'tokenBegin': 12, 'tokenEnd': 13, 'text': 'Sundays', 'characterOffsetBegin': 224, 'characterOffsetEnd': 231, 'ner': 'DATE', 'normalizedNER': 'XXXX-WXX-7', 'timex': {'tid': 't2', 'type': 'SET', 'value': 'XXXX-WXX-7'}}, {'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 167, 'characterOffsetEnd': 169, 'ner': 'PERSON'}, {'docTokenBegin': 40, 'docTokenEnd': 41, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 184, 'characterOffsetEnd': 187, 'ner': 'PERSON'}]"	He then made all his sermons into music and sang them on Sundays.	c71bb23b-7731-4233-8298-76ba6886cee1_3	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings
