sentence	sentenceid	storyid	storytitle	ner
Marcus needed clothing for a business casual event.	87da1a22-df0b-410c-b186-439700b70ba6_0	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Marcus', 'characterOffsetBegin': 0, 'characterOffsetEnd': 6, 'ner': 'PERSON'}]"
All of his clothes were either too formal or too casual.	87da1a22-df0b-410c-b186-439700b70ba6_1	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	"[{'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 59, 'characterOffsetEnd': 62, 'ner': 'PERSON'}]"
He decided to buy a pair of khakis.	87da1a22-df0b-410c-b186-439700b70ba6_2	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	"[{'docTokenBegin': 21, 'docTokenEnd': 22, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 109, 'characterOffsetEnd': 111, 'ner': 'PERSON'}]"
The pair he bought fit him perfectly.	87da1a22-df0b-410c-b186-439700b70ba6_3	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	"[{'docTokenBegin': 32, 'docTokenEnd': 33, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 154, 'characterOffsetEnd': 156, 'ner': 'PERSON'}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'him', 'characterOffsetBegin': 168, 'characterOffsetEnd': 171, 'ner': 'PERSON'}]"
Marcus was happy to have the right clothes for the event.	87da1a22-df0b-410c-b186-439700b70ba6_4	87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	"[{'docTokenBegin': 38, 'docTokenEnd': 39, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Marcus', 'characterOffsetBegin': 183, 'characterOffsetEnd': 189, 'ner': 'PERSON'}]"
Bobby thought Bill should buy a trailer and haul it with his car.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bobby', 'characterOffsetBegin': 0, 'characterOffsetEnd': 5, 'ner': 'PERSON'}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Bill', 'characterOffsetBegin': 14, 'characterOffsetEnd': 18, 'ner': 'PERSON'}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 11, 'tokenEnd': 12, 'text': 'his', 'characterOffsetBegin': 57, 'characterOffsetEnd': 60, 'ner': 'PERSON'}]"
Bill thought a truck would be better for what he needed.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	"[{'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bill', 'characterOffsetBegin': 66, 'characterOffsetEnd': 70, 'ner': 'PERSON'}, {'docTokenBegin': 23, 'docTokenEnd': 24, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'he', 'characterOffsetBegin': 112, 'characterOffsetEnd': 114, 'ner': 'PERSON'}]"
Bobby pointed out two vehicles were much more expensive.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	"[{'docTokenBegin': 26, 'docTokenEnd': 27, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bobby', 'characterOffsetBegin': 123, 'characterOffsetEnd': 128, 'ner': 'PERSON'}, {'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'two', 'characterOffsetBegin': 141, 'characterOffsetEnd': 144, 'ner': 'NUMBER', 'normalizedNER': '2.0'}]"
Bill was set in his ways with conventional thinking.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Bill', 'characterOffsetBegin': 180, 'characterOffsetEnd': 184, 'ner': 'PERSON'}, {'docTokenBegin': 40, 'docTokenEnd': 41, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 196, 'characterOffsetEnd': 199, 'ner': 'PERSON'}]"
He ended up buying the truck he wanted despite Bobby's advice.	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	"[{'docTokenBegin': 55, 'docTokenEnd': 56, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'Bobby', 'characterOffsetBegin': 280, 'characterOffsetEnd': 285, 'ner': 'PERSON'}, {'docTokenBegin': 46, 'docTokenEnd': 47, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 233, 'characterOffsetEnd': 235, 'ner': 'PERSON'}, {'docTokenBegin': 52, 'docTokenEnd': 53, 'tokenBegin': 6, 'tokenEnd': 7, 'text': 'he', 'characterOffsetBegin': 262, 'characterOffsetEnd': 264, 'ner': 'PERSON'}]"
John was a pastor with a very bad memory.	c71bb23b-7731-4233-8298-76ba6886cee1_0	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'John', 'characterOffsetBegin': 0, 'characterOffsetEnd': 4, 'ner': 'PERSON'}, {'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'pastor', 'characterOffsetBegin': 11, 'characterOffsetEnd': 17, 'ner': 'TITLE'}]"
He tried to memorize his sermons many days in advance but to no avail.	c71bb23b-7731-4233-8298-76ba6886cee1_1	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	"[{'docTokenBegin': 17, 'docTokenEnd': 18, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'days', 'characterOffsetBegin': 80, 'characterOffsetEnd': 84, 'ner': 'DURATION', 'normalizedNER': 'PXD', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PXD'}}, {'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 42, 'characterOffsetEnd': 44, 'ner': 'PERSON'}, {'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 63, 'characterOffsetEnd': 66, 'ner': 'PERSON'}]"
He decided to learn to sing to overcome his handicap.	c71bb23b-7731-4233-8298-76ba6886cee1_2	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	"[{'docTokenBegin': 25, 'docTokenEnd': 26, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 113, 'characterOffsetEnd': 115, 'ner': 'PERSON'}, {'docTokenBegin': 33, 'docTokenEnd': 34, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'his', 'characterOffsetBegin': 153, 'characterOffsetEnd': 156, 'ner': 'PERSON'}]"
He then made all his sermons into music and sang them on Sundays.	c71bb23b-7731-4233-8298-76ba6886cee1_3	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	"[{'docTokenBegin': 48, 'docTokenEnd': 49, 'tokenBegin': 12, 'tokenEnd': 13, 'text': 'Sundays', 'characterOffsetBegin': 224, 'characterOffsetEnd': 231, 'ner': 'DATE', 'normalizedNER': 'XXXX-WXX-7', 'timex': {'tid': 't2', 'type': 'SET', 'value': 'XXXX-WXX-7'}}, {'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 167, 'characterOffsetEnd': 169, 'ner': 'PERSON'}, {'docTokenBegin': 40, 'docTokenEnd': 41, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'his', 'characterOffsetBegin': 184, 'characterOffsetEnd': 187, 'ner': 'PERSON'}]"
His congregation was delighted and so was he.	c71bb23b-7731-4233-8298-76ba6886cee1_4	c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	"[{'docTokenBegin': 50, 'docTokenEnd': 51, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'His', 'characterOffsetBegin': 233, 'characterOffsetEnd': 236, 'ner': 'PERSON'}, {'docTokenBegin': 57, 'docTokenEnd': 58, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'he', 'characterOffsetBegin': 275, 'characterOffsetEnd': 277, 'ner': 'PERSON'}]"
Melody's parents surprised her with a trip to the big aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Melody', 'characterOffsetBegin': 0, 'characterOffsetEnd': 6, 'ner': 'PERSON'}, {'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'her', 'characterOffsetBegin': 27, 'characterOffsetEnd': 30, 'ner': 'PERSON'}]"
Melody took a nap during the two hour car ride to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_1	4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	"[{'docTokenBegin': 13, 'docTokenEnd': 14, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Melody', 'characterOffsetBegin': 64, 'characterOffsetEnd': 70, 'ner': 'PERSON'}, {'docTokenBegin': 18, 'docTokenEnd': 21, 'tokenBegin': 5, 'tokenEnd': 8, 'text': 'the two hour', 'characterOffsetBegin': 89, 'characterOffsetEnd': 101, 'ner': 'DURATION', 'normalizedNER': 'PT2H', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PT2H'}}]"
"When they arrived, Melody was energetic and excited."	4d7b022e-25d2-4300-a9b0-24ab35f4045b_2	4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	"[{'docTokenBegin': 31, 'docTokenEnd': 32, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'Melody', 'characterOffsetBegin': 147, 'characterOffsetEnd': 153, 'ner': 'PERSON'}]"
"At the aquarium Melody saw sharks, tropical fish and many others."	4d7b022e-25d2-4300-a9b0-24ab35f4045b_3	4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	"[{'docTokenBegin': 40, 'docTokenEnd': 41, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Melody', 'characterOffsetBegin': 197, 'characterOffsetEnd': 203, 'ner': 'PERSON'}]"
"After five hours at the aquarium, Melody and her family drove home."	4d7b022e-25d2-4300-a9b0-24ab35f4045b_4	4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	"[{'docTokenBegin': 51, 'docTokenEnd': 53, 'tokenBegin': 1, 'tokenEnd': 3, 'text': 'five hours', 'characterOffsetBegin': 253, 'characterOffsetEnd': 263, 'ner': 'DURATION', 'normalizedNER': 'PT5H', 'timex': {'tid': 't2', 'type': 'DURATION', 'value': 'PT5H'}}, {'docTokenBegin': 57, 'docTokenEnd': 58, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'Melody', 'characterOffsetBegin': 281, 'characterOffsetEnd': 287, 'ner': 'PERSON'}, {'docTokenBegin': 59, 'docTokenEnd': 60, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'her', 'characterOffsetBegin': 292, 'characterOffsetEnd': 295, 'ner': 'PERSON'}]"
The math teacher announced a pop quiz as class began.	8036c905-f23e-4976-83a1-85d679b5e0c2_0	8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'teacher', 'characterOffsetBegin': 9, 'characterOffsetEnd': 16, 'ner': 'TITLE'}]"
"While some students complained, he began passing out the quiz."	8036c905-f23e-4976-83a1-85d679b5e0c2_1	8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 86, 'characterOffsetEnd': 88, 'ner': 'PERSON'}]"
I took out my pencil and began to work.	8036c905-f23e-4976-83a1-85d679b5e0c2_2	8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	[]
"About 5 minutes later, I finished."	8036c905-f23e-4976-83a1-85d679b5e0c2_3	8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	"[{'docTokenBegin': 33, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 4, 'text': 'About 5 minutes later', 'characterOffsetBegin': 157, 'characterOffsetEnd': 178, 'ner': 'DATE', 'normalizedNER': 'OFFSET PT5M', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'OFFSET PT5M'}}]"
I stood up feeling confident and turned it in.	8036c905-f23e-4976-83a1-85d679b5e0c2_4	8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	[]
My first girlfriend i met on the internet.	77338898-07d4-4143-8451-284540c8b082_0	77338898-07d4-4143-8451-284540c8b082	My first girlfriend	"[{'docTokenBegin': 1, 'docTokenEnd': 2, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'first', 'characterOffsetBegin': 3, 'characterOffsetEnd': 8, 'ner': 'ORDINAL', 'normalizedNER': '1.0'}]"
She lives about 4 hours away from me.	77338898-07d4-4143-8451-284540c8b082_1	77338898-07d4-4143-8451-284540c8b082	My first girlfriend	"[{'docTokenBegin': 11, 'docTokenEnd': 14, 'tokenBegin': 2, 'tokenEnd': 5, 'text': 'about 4 hours', 'characterOffsetBegin': 53, 'characterOffsetEnd': 66, 'ner': 'DURATION', 'normalizedNER': 'PT4H', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'PT4H'}}, {'docTokenBegin': 9, 'docTokenEnd': 10, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 43, 'characterOffsetEnd': 46, 'ner': 'PERSON'}]"
Finally after 2 years we met each other.	77338898-07d4-4143-8451-284540c8b082_2	77338898-07d4-4143-8451-284540c8b082	My first girlfriend	"[{'docTokenBegin': 20, 'docTokenEnd': 22, 'tokenBegin': 2, 'tokenEnd': 4, 'text': '2 years', 'characterOffsetBegin': 95, 'characterOffsetEnd': 102, 'ner': 'DURATION', 'normalizedNER': 'P2Y', 'timex': {'tid': 't2', 'type': 'DURATION', 'value': 'P2Y'}}]"
She stayed with me for a week or two.	77338898-07d4-4143-8451-284540c8b082_3	77338898-07d4-4143-8451-284540c8b082	My first girlfriend	"[{'docTokenBegin': 32, 'docTokenEnd': 34, 'tokenBegin': 5, 'tokenEnd': 7, 'text': 'a week', 'characterOffsetBegin': 145, 'characterOffsetEnd': 151, 'ner': 'DURATION', 'normalizedNER': 'P1W', 'timex': {'tid': 't3', 'type': 'DURATION', 'value': 'P1W'}}, {'docTokenBegin': 35, 'docTokenEnd': 36, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'two', 'characterOffsetBegin': 155, 'characterOffsetEnd': 158, 'ner': 'NUMBER', 'normalizedNER': '2.0'}, {'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'She', 'characterOffsetBegin': 122, 'characterOffsetEnd': 125, 'ner': 'PERSON'}]"
We decided we couldn't be apart so she moved in with me.	77338898-07d4-4143-8451-284540c8b082_4	77338898-07d4-4143-8451-284540c8b082	My first girlfriend	"[{'docTokenBegin': 45, 'docTokenEnd': 46, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'she', 'characterOffsetBegin': 195, 'characterOffsetEnd': 198, 'ner': 'PERSON'}]"
I got Charlie Horse when I was four years old.	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	"[{'docTokenBegin': 2, 'docTokenEnd': 4, 'tokenBegin': 2, 'tokenEnd': 4, 'text': 'Charlie Horse', 'characterOffsetBegin': 6, 'characterOffsetEnd': 19, 'ner': 'PERSON'}, {'docTokenBegin': 7, 'docTokenEnd': 10, 'tokenBegin': 7, 'tokenEnd': 10, 'text': 'four years old', 'characterOffsetBegin': 31, 'characterOffsetEnd': 45, 'ner': 'DURATION', 'normalizedNER': 'P4Y', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'P4Y'}}]"
"He's a brown stuffed horse, and at 35 I still sleep with him at night."	110fafd1-2bb7-4ffe-aac7-475706165d41_1	110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	"[{'docTokenBegin': 20, 'docTokenEnd': 21, 'tokenBegin': 9, 'tokenEnd': 10, 'text': '35', 'characterOffsetBegin': 82, 'characterOffsetEnd': 84, 'ner': 'NUMBER', 'normalizedNER': '35.0'}, {'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 16, 'tokenEnd': 17, 'text': 'night', 'characterOffsetBegin': 111, 'characterOffsetEnd': 116, 'ner': 'TIME', 'normalizedNER': 'TNI', 'timex': {'tid': 't2', 'type': 'TIME', 'value': 'TNI'}}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 47, 'characterOffsetEnd': 49, 'ner': 'PERSON'}, {'docTokenBegin': 25, 'docTokenEnd': 26, 'tokenBegin': 14, 'tokenEnd': 15, 'text': 'him', 'characterOffsetBegin': 104, 'characterOffsetEnd': 107, 'ner': 'PERSON'}]"
"He was my best friend, and always laid at the head of my bed."	110fafd1-2bb7-4ffe-aac7-475706165d41_2	110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	"[{'docTokenBegin': 29, 'docTokenEnd': 30, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 118, 'characterOffsetEnd': 120, 'ner': 'PERSON'}]"
"I laid him next to me, smelling his soft fur every night."	110fafd1-2bb7-4ffe-aac7-475706165d41_3	110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	"[{'docTokenBegin': 56, 'docTokenEnd': 58, 'tokenBegin': 11, 'tokenEnd': 13, 'text': 'every night', 'characterOffsetBegin': 225, 'characterOffsetEnd': 236, 'ner': 'SET', 'timex': {'tid': 't3', 'type': 'SET', 'value': 'TNI'}}, {'docTokenBegin': 47, 'docTokenEnd': 48, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'him', 'characterOffsetBegin': 187, 'characterOffsetEnd': 190, 'ner': 'PERSON'}, {'docTokenBegin': 53, 'docTokenEnd': 54, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'his', 'characterOffsetBegin': 212, 'characterOffsetEnd': 215, 'ner': 'PERSON'}]"
I liked to listen to my radio as I fell asleep cuddling him.	110fafd1-2bb7-4ffe-aac7-475706165d41_4	110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	"[{'docTokenBegin': 71, 'docTokenEnd': 72, 'tokenBegin': 12, 'tokenEnd': 13, 'text': 'him', 'characterOffsetBegin': 294, 'characterOffsetEnd': 297, 'ner': 'PERSON'}]"
Laura loved corn.	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Laura', 'characterOffsetBegin': 0, 'characterOffsetEnd': 5, 'ner': 'PERSON'}]"
So she decided to grow some in her backyard.	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	"[{'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'she', 'characterOffsetBegin': 21, 'characterOffsetEnd': 24, 'ner': 'PERSON'}, {'docTokenBegin': 11, 'docTokenEnd': 12, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'her', 'characterOffsetBegin': 49, 'characterOffsetEnd': 52, 'ner': 'PERSON'}]"
The whole process of growing them made her very excited.	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	"[{'docTokenBegin': 21, 'docTokenEnd': 22, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'her', 'characterOffsetBegin': 102, 'characterOffsetEnd': 105, 'ner': 'PERSON'}]"
But she realized that they required too much water.	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	"[{'docTokenBegin': 26, 'docTokenEnd': 27, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'she', 'characterOffsetBegin': 124, 'characterOffsetEnd': 127, 'ner': 'PERSON'}]"
